fval,trial
"{'F1': 0.005, 'F2': 1.626}",0
"{'F1': 0.05, 'F2': 4.306}",0
"{'F1': 0.001, 'F2': 1.11}",2
"{'F1': 0.002, 'F2': 1.237}",0
"{'F1': 0.0, 'F2': 1.004}",1
"{'F1': 0.001, 'F2': 0.977}",2
"{'F1': 0.001, 'F2': 1.049}",0
"{'F1': 0.001, 'F2': 0.982}",1
"{'F1': 0.0, 'F2': 0.998}",2
"{'F1': 0.0, 'F2': 0.998}",2
"{'F1': 0.0, 'F2': 0.991}",0
"{'F1': 0.0, 'F2': 0.993}",1
"{'F1': 0.0, 'F2': 0.985}",2
"{'F1': 0.001, 'F2': 0.979}",0
"{'F1': 0.0, 'F2': 0.988}",1
"{'F1': 0.0, 'F2': 0.984}",2
"{'F1': 0.001, 'F2': 0.98}",0
"{'F1': 0.001, 'F2': 0.982}",1
"{'F1': 0.001, 'F2': 0.982}",2
"{'F1': 0.0, 'F2': 0.989}",0
"{'F1': 0.001, 'F2': 0.982}",1
"{'F1': 0.0, 'F2': 0.991}",2
"{'F1': 0.0, 'F2': 0.988}",0
"{'F1': 0.0, 'F2': 0.988}",1
"{'F1': 0.001, 'F2': 0.982}",2
"{'F1': 0.0, 'F2': 0.985}",0
"{'F1': 0.001, 'F2': 0.973}",1
"{'F1': 0.0, 'F2': 0.999}",2
"{'F1': 0.001, 'F2': 0.981}",0
"{'F1': 0.001, 'F2': 0.982}",1
"{'F1': 0.0, 'F2': 0.991}",2
"{'F1': 0.05, 'F2': 1.119}",0
"{'F1': 0.0, 'F2': 0.991}",1
"{'F1': 0.0, 'F2': 0.986}",2
"{'F1': 0.8, 'F2': 0.659}",0
"{'F1': 0.7, 'F2': 0.591}",1
"{'F1': 0.5, 'F2': 0.516}",2
"{'F1': 0.3, 'F2': 0.629}",0
"{'F1': 0.4, 'F2': 0.513}",1
"{'F1': 0.3, 'F2': 0.536}",2
"{'F1': 0.2, 'F2': 0.635}",0
"{'F1': 0.2, 'F2': 0.778}",1
"{'F1': 0.45, 'F2': 0.281}",1
"{'F1': 0.1, 'F2': 1.018}",0
"{'F1': 0.0, 'F2': 0.994}",1
"{'F1': 0.35, 'F2': 1.004}",2
"{'F1': 0.25, 'F2': 1.29}",0
"{'F1': 0.1, 'F2': 0.741}",1
"{'F1': 0.15, 'F2': 0.81}",2
"{'F1': 0.25, 'F2': 0.373}",2
"{'F1': 0.05, 'F2': 0.756}",0
"{'F1': 0.01, 'F2': 2.235}",1
"{'F1': 0.4, 'F2': 1.25}",2
"{'F1': 0.0, 'F2': 0.991}",0
"{'F1': 0.0, 'F2': 0.988}",1
"{'F1': 0.12, 'F2': 0.806}",2
"{'F1': 0.4, 'F2': 0.686}",0
"{'F1': 0.001, 'F2': 0.977}",1
"{'F1': 0.4, 'F2': 0.928}",1
"{'F1': 0.2, 'F2': 1.028}",0
"{'F1': 0.0, 'F2': 0.991}",1
"{'F1': 0.05, 'F2': 0.951}",2
