fval,trial
"{'F1': 0.9, 'F2': 3.127}",0
"{'F1': 0.5, 'F2': 3.842}",0
"{'F1': 0.1, 'F2': 4.874}",0
"{'F1': 0.6, 'F2': 3.658}",0
"{'F1': 0.4, 'F2': 4.044}",0
"{'F1': 0.8, 'F2': 3.327}",0
"{'F1': 0.01, 'F2': 5.262}",0
"{'F1': 0.02, 'F2': 5.301}",0
"{'F1': 0.22, 'F2': 4.349}",1
"{'F1': 0.85, 'F2': 2.401}",1
"{'F1': 0.8, 'F2': 3.327}",0
"{'F1': 0.005, 'F2': 5.485}",1
"{'F1': 0.03, 'F2': 5.21}",2
"{'F1': 0.1, 'F2': 4.874}",2
"{'F1': 0.78, 'F2': 3.817}",2
"{'F1': 0.001, 'F2': 5.58}",0
"{'F1': 0.002, 'F2': 5.548}",1
"{'F1': 0.02, 'F2': 5.301}",2
"{'F1': 0.003, 'F2': 5.519}",0
"{'F1': 0.82, 'F2': 2.814}",1
"{'F1': 0.001, 'F2': 5.58}",2
"{'F1': 0.75, 'F2': 4.156}",2
"{'F1': 0.0, 'F2': 5.648}",0
"{'F1': 0.001, 'F2': 5.602}",1
"{'F1': 0.001, 'F2': 5.602}",2
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.8, 'F2': 3.327}",0
"{'F1': 0.001, 'F2': 5.602}",2
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.001, 'F2': 5.602}",1
"{'F1': 0.0, 'F2': 5.631}",2
"{'F1': 0.001, 'F2': 5.602}",0
"{'F1': 0.8, 'F2': 3.327}",1
"{'F1': 0.0, 'F2': 5.638}",2
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.12, 'F2': 4.867}",1
"{'F1': 0.88, 'F2': 2.689}",2
"{'F1': 0.65, 'F2': 2.921}",0
"{'F1': 0.0, 'F2': 5.621}",1
"{'F1': 0.001, 'F2': 5.588}",1
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.6, 'F2': 3.658}",1
"{'F1': 0.04, 'F2': 5.13}",2
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.008, 'F2': 5.438}",1
"{'F1': 0.0, 'F2': 5.631}",2
"{'F1': 0.015, 'F2': 5.353}",0
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.005, 'F2': 5.485}",2
"{'F1': 0.007, 'F2': 5.453}",0
"{'F1': 0.0, 'F2': 5.631}",1
"{'F1': 0.001, 'F2': 5.602}",2
