candidate_points,best_candidate,best_candidate_index
"[{'x0': 0.4, 'x1': 0.1, 'x2': 0.3, 'x3': 0.2, 'x4': 0.6, 'x5': 0.25, 'x6': 0.4, 'x7': 0.35, 'x8': 0.3, 'x9': 0.1}, {'x0': 0.3, 'x1': 0.4, 'x2': 0.2, 'x3': 0.5, 'x4': 0.1, 'x5': 0.3, 'x6': 0.5, 'x7': 0.2, 'x8': 0.6, 'x9': 0.1}, {'x0': 0.25, 'x1': 0.3, 'x2': 0.2, 'x3': 0.1, 'x4': 0.4, 'x5': 0.35, 'x6': 0.15, 'x7': 0.25, 'x8': 0.5, 'x9': 0.45}, {'x0': 0.15, 'x1': 0.2, 'x2': 0.4, 'x3': 0.3, 'x4': 0.5, 'x5': 0.2, 'x6': 0.1, 'x7': 0.4, 'x8': 0.3, 'x9': 0.25}, {'x0': 0.2, 'x1': 0.5, 'x2': 0.1, 'x3': 0.3, 'x4': 0.2, 'x5': 0.6, 'x6': 0.7, 'x7': 0.4, 'x8': 0.2, 'x9': 0.3}]","{'x0': 0.15, 'x1': 0.2, 'x2': 0.4, 'x3': 0.3, 'x4': 0.5, 'x5': 0.2, 'x6': 0.1, 'x7': 0.4, 'x8': 0.3, 'x9': 0.25}",3
"[{'x0': 0.12, 'x1': 0.35, 'x2': 0.45, 'x3': 0.22, 'x4': 0.37, 'x5': 0.15, 'x6': 0.08, 'x7': 0.25, 'x8': 0.4, 'x9': 0.18}, {'x0': 0.6, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.8, 'x5': 0.7, 'x6': 0.5, 'x7': 0.1, 'x8': 0.9, 'x9': 0.4}, {'x0': 0.8, 'x1': 0.9, 'x2': 0.95, 'x3': 0.12, 'x4': 0.36, 'x5': 0.41, 'x6': 0.55, 'x7': 0.68, 'x8': 0.72, 'x9': 0.88}, {'x0': 0.05, 'x1': 0.1, 'x2': 0.2, 'x3': 0.15, 'x4': 0.25, 'x5': 0.3, 'x6': 0.4, 'x7': 0.5, 'x8': 0.6, 'x9': 0.7}, {'x0': 0.25, 'x1': 0.33, 'x2': 0.4, 'x3': 0.28, 'x4': 0.19, 'x5': 0.21, 'x6': 0.5, 'x7': 0.12, 'x8': 0.3, 'x9': 0.4}]","{'x0': 0.6, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.8, 'x5': 0.7, 'x6': 0.5, 'x7': 0.1, 'x8': 0.9, 'x9': 0.4}",1
"[{'x0': 0.4, 'x1': 0.3, 'x2': 0.2, 'x3': 0.1, 'x4': 0.7, 'x5': 0.6, 'x6': 0.3, 'x7': 0.2, 'x8': 0.4, 'x9': 0.5}, {'x0': 0.2, 'x1': 0.4, 'x2': 0.1, 'x3': 0.5, 'x4': 0.3, 'x5': 0.7, 'x6': 0.2, 'x7': 0.6, 'x8': 0.15, 'x9': 0.25}, {'x0': 0.05, 'x1': 0.3, 'x2': 0.55, 'x3': 0.2, 'x4': 0.45, 'x5': 0.3, 'x6': 0.6, 'x7': 0.15, 'x8': 0.8, 'x9': 0.2}, {'x0': 0.35, 'x1': 0.25, 'x2': 0.45, 'x3': 0.15, 'x4': 0.6, 'x5': 0.2, 'x6': 0.1, 'x7': 0.3, 'x8': 0.5, 'x9': 0.4}, {'x0': 0.25, 'x1': 0.15, 'x2': 0.35, 'x3': 0.25, 'x4': 0.55, 'x5': 0.1, 'x6': 0.2, 'x7': 0.4, 'x8': 0.1, 'x9': 0.15}]","{'x0': 0.25, 'x1': 0.15, 'x2': 0.35, 'x3': 0.25, 'x4': 0.55, 'x5': 0.1, 'x6': 0.2, 'x7': 0.4, 'x8': 0.1, 'x9': 0.15}",4
"[{'x0': 0.05, 'x1': 0.1, 'x2': 0.15, 'x3': 0.35, 'x4': 0.25, 'x5': 0.1, 'x6': 0.3, 'x7': 0.4, 'x8': 0.3, 'x9': 0.2}, {'x0': 0.3, 'x1': 0.4, 'x2': 0.1, 'x3': 0.2, 'x4': 0.3, 'x5': 0.05, 'x6': 0.25, 'x7': 0.4, 'x8': 0.2, 'x9': 0.3}, {'x0': 0.2, 'x1': 0.25, 'x2': 0.3, 'x3': 0.1, 'x4': 0.2, 'x5': 0.15, 'x6': 0.4, 'x7': 0.5, 'x8': 0.1, 'x9': 0.1}, {'x0': 0.1, 'x1': 0.3, 'x2': 0.2, 'x3': 0.2, 'x4': 0.4, 'x5': 0.3, 'x6': 0.2, 'x7': 0.5, 'x8': 0.2, 'x9': 0.3}, {'x0': 0.4, 'x1': 0.2, 'x2': 0.15, 'x3': 0.1, 'x4': 0.35, 'x5': 0.4, 'x6': 0.3, 'x7': 0.5, 'x8': 0.25, 'x9': 0.2}]","{'x0': 0.2, 'x1': 0.25, 'x2': 0.3, 'x3': 0.1, 'x4': 0.2, 'x5': 0.15, 'x6': 0.4, 'x7': 0.5, 'x8': 0.1, 'x9': 0.1}",2
"[{'x0': 0.55, 'x1': 0.67, 'x2': 0.49, 'x3': 0.19, 'x4': 0.36, 'x5': 0.23, 'x6': 0.31, 'x7': 0.74, 'x8': 0.18, 'x9': 0.17}, {'x0': 0.22, 'x1': 0.11, 'x2': 0.07, 'x3': 0.08, 'x4': 0.24, 'x5': 0.03, 'x6': 0.12, 'x7': 0.36, 'x8': 0.09, 'x9': 0.02}, {'x0': 0.34, 'x1': 0.47, 'x2': 0.36, 'x3': 0.14, 'x4': 0.29, 'x5': 0.16, 'x6': 0.58, 'x7': 0.39, 'x8': 0.11, 'x9': 0.05}, {'x0': 0.12, 'x1': 0.18, 'x2': 0.32, 'x3': 0.25, 'x4': 0.39, 'x5': 0.07, 'x6': 0.45, 'x7': 0.35, 'x8': 0.22, 'x9': 0.08}, {'x0': 0.45, 'x1': 0.29, 'x2': 0.25, 'x3': 0.37, 'x4': 0.52, 'x5': 0.14, 'x6': 0.28, 'x7': 0.61, 'x8': 0.21, 'x9': 0.26}]","{'x0': 0.22, 'x1': 0.11, 'x2': 0.07, 'x3': 0.08, 'x4': 0.24, 'x5': 0.03, 'x6': 0.12, 'x7': 0.36, 'x8': 0.09, 'x9': 0.02}",1
"[{'x0': 0.12, 'x1': 0.4, 'x2': 0.45, 'x3': 0.15, 'x4': 0.3, 'x5': 0.1, 'x6': 0.25, 'x7': 0.35, 'x8': 0.2, 'x9': 0.03}, {'x0': 0.4, 'x1': 0.2, 'x2': 0.1, 'x3': 0.25, 'x4': 0.35, 'x5': 0.2, 'x6': 0.1, 'x7': 0.15, 'x8': 0.4, 'x9': 0.3}, {'x0': 0.1, 'x1': 0.05, 'x2': 0.02, 'x3': 0.03, 'x4': 0.15, 'x5': 0.01, 'x6': 0.1, 'x7': 0.25, 'x8': 0.04, 'x9': 0.01}, {'x0': 0.3, 'x1': 0.18, 'x2': 0.22, 'x3': 0.2, 'x4': 0.4, 'x5': 0.05, 'x6': 0.3, 'x7': 0.2, 'x8': 0.1, 'x9': 0.12}, {'x0': 0.05, 'x1': 0.1, 'x2': 0.15, 'x3': 0.12, 'x4': 0.2, 'x5': 0.07, 'x6': 0.08, 'x7': 0.2, 'x8': 0.05, 'x9': 0.02}]","{'x0': 0.1, 'x1': 0.05, 'x2': 0.02, 'x3': 0.03, 'x4': 0.15, 'x5': 0.01, 'x6': 0.1, 'x7': 0.25, 'x8': 0.04, 'x9': 0.01}",2
"[{'x0': 0.18, 'x1': 0.2, 'x2': 0.12, 'x3': 0.07, 'x4': 0.25, 'x5': 0.03, 'x6': 0.1, 'x7': 0.28, 'x8': 0.05, 'x9': 0.01}, {'x0': 0.12, 'x1': 0.09, 'x2': 0.15, 'x3': 0.05, 'x4': 0.18, 'x5': 0.02, 'x6': 0.08, 'x7': 0.22, 'x8': 0.03, 'x9': 0.02}, {'x0': 0.25, 'x1': 0.1, 'x2': 0.2, 'x3': 0.15, 'x4': 0.3, 'x5': 0.05, 'x6': 0.1, 'x7': 0.35, 'x8': 0.07, 'x9': 0.04}, {'x0': 0.3, 'x1': 0.15, 'x2': 0.25, 'x3': 0.2, 'x4': 0.4, 'x5': 0.1, 'x6': 0.15, 'x7': 0.3, 'x8': 0.1, 'x9': 0.05}, {'x0': 0.22, 'x1': 0.12, 'x2': 0.18, 'x3': 0.1, 'x4': 0.35, 'x5': 0.08, 'x6': 0.2, 'x7': 0.2, 'x8': 0.06, 'x9': 0.03}]","{'x0': 0.18, 'x1': 0.2, 'x2': 0.12, 'x3': 0.07, 'x4': 0.25, 'x5': 0.03, 'x6': 0.1, 'x7': 0.28, 'x8': 0.05, 'x9': 0.01}",0
"[{'x0': 0.12, 'x1': 0.18, 'x2': 0.22, 'x3': 0.15, 'x4': 0.28, 'x5': 0.08, 'x6': 0.12, 'x7': 0.3, 'x8': 0.05, 'x9': 0.02}, {'x0': 0.05, 'x1': 0.15, 'x2': 0.25, 'x3': 0.2, 'x4': 0.3, 'x5': 0.05, 'x6': 0.15, 'x7': 0.35, 'x8': 0.1, 'x9': 0.05}, {'x0': 0.04, 'x1': 0.13, 'x2': 0.19, 'x3': 0.16, 'x4': 0.27, 'x5': 0.06, 'x6': 0.14, 'x7': 0.38, 'x8': 0.15, 'x9': 0.02}, {'x0': 0.07, 'x1': 0.11, 'x2': 0.2, 'x3': 0.17, 'x4': 0.31, 'x5': 0.09, 'x6': 0.2, 'x7': 0.4, 'x8': 0.12, 'x9': 0.06}, {'x0': 0.08, 'x1': 0.14, 'x2': 0.23, 'x3': 0.21, 'x4': 0.29, 'x5': 0.07, 'x6': 0.13, 'x7': 0.37, 'x8': 0.11, 'x9': 0.03}]","{'x0': 0.12, 'x1': 0.18, 'x2': 0.22, 'x3': 0.15, 'x4': 0.28, 'x5': 0.08, 'x6': 0.12, 'x7': 0.3, 'x8': 0.05, 'x9': 0.02}",0
"[{'x0': 0.12, 'x1': 0.07, 'x2': 0.19, 'x3': 0.15, 'x4': 0.22, 'x5': 0.09, 'x6': 0.18, 'x7': 0.25, 'x8': 0.12, 'x9': 0.03}, {'x0': 0.08, 'x1': 0.15, 'x2': 0.2, 'x3': 0.1, 'x4': 0.25, 'x5': 0.05, 'x6': 0.15, 'x7': 0.32, 'x8': 0.07, 'x9': 0.02}, {'x0': 0.04, 'x1': 0.09, 'x2': 0.11, 'x3': 0.06, 'x4': 0.14, 'x5': 0.07, 'x6': 0.12, 'x7': 0.2, 'x8': 0.09, 'x9': 0.01}, {'x0': 0.05, 'x1': 0.1, 'x2': 0.15, 'x3': 0.05, 'x4': 0.1, 'x5': 0.05, 'x6': 0.2, 'x7': 0.3, 'x8': 0.1, 'x9': 0.01}, {'x0': 0.3, 'x1': 0.25, 'x2': 0.4, 'x3': 0.35, 'x4': 0.2, 'x5': 0.15, 'x6': 0.3, 'x7': 0.4, 'x8': 0.2, 'x9': 0.1}]","{'x0': 0.12, 'x1': 0.07, 'x2': 0.19, 'x3': 0.15, 'x4': 0.22, 'x5': 0.09, 'x6': 0.18, 'x7': 0.25, 'x8': 0.12, 'x9': 0.03}",0
"[{'x0': 0.1, 'x1': 0.15, 'x2': 0.2, 'x3': 0.25, 'x4': 0.3, 'x5': 0.35, 'x6': 0.4, 'x7': 0.45, 'x8': 0.5, 'x9': 0.55}, {'x0': 0.2, 'x1': 0.1, 'x2': 0.3, 'x3': 0.07, 'x4': 0.15, 'x5': 0.25, 'x6': 0.35, 'x7': 0.45, 'x8': 0.55, 'x9': 0.65}, {'x0': 0.15, 'x1': 0.1, 'x2': 0.05, 'x3': 0.1, 'x4': 0.2, 'x5': 0.3, 'x6': 0.4, 'x7': 0.5, 'x8': 0.6, 'x9': 0.7}, {'x0': 0.02, 'x1': 0.03, 'x2': 0.04, 'x3': 0.05, 'x4': 0.06, 'x5': 0.07, 'x6': 0.08, 'x7': 0.09, 'x8': 0.1, 'x9': 0.1}, {'x0': 0.05, 'x1': 0.02, 'x2': 0.01, 'x3': 0.01, 'x4': 0.03, 'x5': 0.01, 'x6': 0.02, 'x7': 0.04, 'x8': 0.01, 'x9': 0.01}]","{'x0': 0.05, 'x1': 0.02, 'x2': 0.01, 'x3': 0.01, 'x4': 0.03, 'x5': 0.01, 'x6': 0.02, 'x7': 0.04, 'x8': 0.01, 'x9': 0.01}",4
