candidate_points,best_candidate,best_candidate_index
"[{'x0': 0.222, 'x1': 0.333, 'x2': 0.444, 'x3': 0.555, 'x4': 0.666, 'x5': 0.777, 'x6': 0.888, 'x7': 0.999, 'x8': 0.01, 'x9': 0.02}, {'x0': 0.111, 'x1': 0.222, 'x2': 0.333, 'x3': 0.444, 'x4': 0.555, 'x5': 0.666, 'x6': 0.777, 'x7': 0.888, 'x8': 0.999, 'x9': 0.0}, {'x0': 0.444, 'x1': 0.555, 'x2': 0.666, 'x3': 0.777, 'x4': 0.888, 'x5': 0.999, 'x6': 0.0, 'x7': 0.111, 'x8': 0.222, 'x9': 0.333}, {'x0': 0.333, 'x1': 0.444, 'x2': 0.555, 'x3': 0.666, 'x4': 0.777, 'x5': 0.888, 'x6': 0.999, 'x7': 0.0, 'x8': 0.111, 'x9': 0.222}, {'x0': 0.123, 'x1': 0.234, 'x2': 0.345, 'x3': 0.456, 'x4': 0.567, 'x5': 0.678, 'x6': 0.789, 'x7': 0.89, 'x8': 0.901, 'x9': 0.012}]","{'x0': 0.444, 'x1': 0.555, 'x2': 0.666, 'x3': 0.777, 'x4': 0.888, 'x5': 0.999, 'x6': 0.0, 'x7': 0.111, 'x8': 0.222, 'x9': 0.333}",2
"[{'x0': 0.5, 'x1': 0.6, 'x2': 0.7, 'x3': 0.8, 'x4': 0.9, 'x5': 0.0, 'x6': 0.1, 'x7': 0.2, 'x8': 0.3, 'x9': 0.4}, {'x0': 0.1, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.5, 'x5': 0.6, 'x6': 0.7, 'x7': 0.8, 'x8': 0.9, 'x9': 0.0}, {'x0': 0.2, 'x1': 0.3, 'x2': 0.4, 'x3': 0.5, 'x4': 0.6, 'x5': 0.7, 'x6': 0.8, 'x7': 0.9, 'x8': 0.0, 'x9': 0.1}, {'x0': 0.3, 'x1': 0.4, 'x2': 0.5, 'x3': 0.6, 'x4': 0.7, 'x5': 0.8, 'x6': 0.9, 'x7': 0.0, 'x8': 0.1, 'x9': 0.2}, {'x0': 0.4, 'x1': 0.5, 'x2': 0.6, 'x3': 0.7, 'x4': 0.8, 'x5': 0.9, 'x6': 0.0, 'x7': 0.1, 'x8': 0.2, 'x9': 0.3}]","{'x0': 0.1, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.5, 'x5': 0.6, 'x6': 0.7, 'x7': 0.8, 'x8': 0.9, 'x9': 0.0}",1
"[{'x0': 0.12, 'x1': 0.25, 'x2': 0.34, 'x3': 0.45, 'x4': 0.56, 'x5': 0.67, 'x6': 0.78, 'x7': 0.89, 'x8': 0.0, 'x9': 0.1}, {'x0': 0.3, 'x1': 0.4, 'x2': 0.5, 'x3': 0.6, 'x4': 0.7, 'x5': 0.8, 'x6': 0.9, 'x7': 0.1, 'x8': 0.2, 'x9': 0.3}, {'x0': 0.4, 'x1': 0.2, 'x2': 0.1, 'x3': 0.3, 'x4': 0.5, 'x5': 0.6, 'x6': 0.7, 'x7': 0.8, 'x8': 0.9, 'x9': 0.4}, {'x0': 0.15, 'x1': 0.12, 'x2': 0.25, 'x3': 0.48, 'x4': 0.29, 'x5': 0.67, 'x6': 0.73, 'x7': 0.85, 'x8': 0.91, 'x9': 0.4}, {'x0': 0.22, 'x1': 0.33, 'x2': 0.44, 'x3': 0.55, 'x4': 0.66, 'x5': 0.77, 'x6': 0.88, 'x7': 0.99, 'x8': 0.11, 'x9': 0.21}]","{'x0': 0.4, 'x1': 0.2, 'x2': 0.1, 'x3': 0.3, 'x4': 0.5, 'x5': 0.6, 'x6': 0.7, 'x7': 0.8, 'x8': 0.9, 'x9': 0.4}",2
"[{'x0': 0.8, 'x1': 0.7, 'x2': 0.6, 'x3': 0.5, 'x4': 0.4, 'x5': 0.3, 'x6': 0.2, 'x7': 0.1, 'x8': 0.9, 'x9': 0.0}, {'x0': 0.3, 'x1': 0.4, 'x2': 0.2, 'x3': 0.1, 'x4': 0.1, 'x5': 0.4, 'x6': 0.5, 'x7': 0.6, 'x8': 0.2, 'x9': 0.1}, {'x0': 0.2, 'x1': 0.1, 'x2': 0.1, 'x3': 0.2, 'x4': 0.2, 'x5': 0.3, 'x6': 0.3, 'x7': 0.4, 'x8': 0.5, 'x9': 0.3}, {'x0': 0.15, 'x1': 0.25, 'x2': 0.35, 'x3': 0.45, 'x4': 0.55, 'x5': 0.65, 'x6': 0.75, 'x7': 0.85, 'x8': 0.95, 'x9': 0.05}, {'x0': 0.05, 'x1': 0.3, 'x2': 0.4, 'x3': 0.55, 'x4': 0.65, 'x5': 0.2, 'x6': 0.1, 'x7': 0.6, 'x8': 0.7, 'x9': 0.4}]","{'x0': 0.2, 'x1': 0.1, 'x2': 0.1, 'x3': 0.2, 'x4': 0.2, 'x5': 0.3, 'x6': 0.3, 'x7': 0.4, 'x8': 0.5, 'x9': 0.3}",2
"[{'x0': 0.12, 'x1': 0.15, 'x2': 0.22, 'x3': 0.18, 'x4': 0.26, 'x5': 0.33, 'x6': 0.29, 'x7': 0.41, 'x8': 0.55, 'x9': 0.3}, {'x0': 0.15, 'x1': 0.18, 'x2': 0.29, 'x3': 0.27, 'x4': 0.3, 'x5': 0.31, 'x6': 0.22, 'x7': 0.54, 'x8': 0.42, 'x9': 0.35}, {'x0': 0.11, 'x1': 0.2, 'x2': 0.25, 'x3': 0.22, 'x4': 0.35, 'x5': 0.38, 'x6': 0.1, 'x7': 0.45, 'x8': 0.5, 'x9': 0.15}, {'x0': 0.05, 'x1': 0.1, 'x2': 0.1, 'x3': 0.3, 'x4': 0.4, 'x5': 0.5, 'x6': 0.6, 'x7': 0.7, 'x8': 0.8, 'x9': 0.2}, {'x0': 0.07, 'x1': 0.12, 'x2': 0.14, 'x3': 0.25, 'x4': 0.34, 'x5': 0.36, 'x6': 0.22, 'x7': 0.48, 'x8': 0.53, 'x9': 0.4}]","{'x0': 0.05, 'x1': 0.1, 'x2': 0.1, 'x3': 0.3, 'x4': 0.4, 'x5': 0.5, 'x6': 0.6, 'x7': 0.7, 'x8': 0.8, 'x9': 0.2}",3
"[{'x0': 0.12, 'x1': 0.22, 'x2': 0.32, 'x3': 0.42, 'x4': 0.52, 'x5': 0.62, 'x6': 0.72, 'x7': 0.82, 'x8': 0.92, 'x9': 0.0}, {'x0': 0.05, 'x1': 0.25, 'x2': 0.35, 'x3': 0.45, 'x4': 0.55, 'x5': 0.65, 'x6': 0.75, 'x7': 0.85, 'x8': 0.95, 'x9': 0.9}, {'x0': 0.25, 'x1': 0.15, 'x2': 0.05, 'x3': 0.1, 'x4': 0.2, 'x5': 0.3, 'x6': 0.4, 'x7': 0.5, 'x8': 0.6, 'x9': 0.7}, {'x0': 0.7, 'x1': 0.1, 'x2': 0.4, 'x3': 0.6, 'x4': 0.3, 'x5': 0.8, 'x6': 0.5, 'x7': 0.9, 'x8': 0.2, 'x9': 0.0}, {'x0': 0.33, 'x1': 0.11, 'x2': 0.22, 'x3': 0.33, 'x4': 0.44, 'x5': 0.55, 'x6': 0.66, 'x7': 0.77, 'x8': 0.88, 'x9': 0.99}]","{'x0': 0.05, 'x1': 0.25, 'x2': 0.35, 'x3': 0.45, 'x4': 0.55, 'x5': 0.65, 'x6': 0.75, 'x7': 0.85, 'x8': 0.95, 'x9': 0.9}",1
"[{'x0': 0.12, 'x1': 0.15, 'x2': 0.18, 'x3': 0.22, 'x4': 0.26, 'x5': 0.3, 'x6': 0.34, 'x7': 0.38, 'x8': 0.42, 'x9': 0.46}, {'x0': 0.07, 'x1': 0.14, 'x2': 0.21, 'x3': 0.28, 'x4': 0.35, 'x5': 0.42, 'x6': 0.49, 'x7': 0.56, 'x8': 0.63, 'x9': 0.7}, {'x0': 0.13, 'x1': 0.19, 'x2': 0.25, 'x3': 0.31, 'x4': 0.37, 'x5': 0.43, 'x6': 0.49, 'x7': 0.55, 'x8': 0.61, 'x9': 0.67}, {'x0': 0.03, 'x1': 0.06, 'x2': 0.09, 'x3': 0.12, 'x4': 0.15, 'x5': 0.18, 'x6': 0.21, 'x7': 0.24, 'x8': 0.27, 'x9': 0.3}, {'x0': 0.09, 'x1': 0.18, 'x2': 0.27, 'x3': 0.36, 'x4': 0.45, 'x5': 0.54, 'x6': 0.63, 'x7': 0.72, 'x8': 0.81, 'x9': 0.9}]","{'x0': 0.03, 'x1': 0.06, 'x2': 0.09, 'x3': 0.12, 'x4': 0.15, 'x5': 0.18, 'x6': 0.21, 'x7': 0.24, 'x8': 0.27, 'x9': 0.3}",3
"[{'x0': 0.12, 'x1': 0.15, 'x2': 0.17, 'x3': 0.18, 'x4': 0.19, 'x5': 0.2, 'x6': 0.21, 'x7': 0.22, 'x8': 0.23, 'x9': 0.24}, {'x0': 0.9, 'x1': 0.8, 'x2': 0.7, 'x3': 0.6, 'x4': 0.5, 'x5': 0.4, 'x6': 0.3, 'x7': 0.2, 'x8': 0.1, 'x9': 0.01}, {'x0': 0.25, 'x1': 0.35, 'x2': 0.45, 'x3': 0.55, 'x4': 0.65, 'x5': 0.75, 'x6': 0.85, 'x7': 0.95, 'x8': 0.15, 'x9': 0.05}, {'x0': 0.8, 'x1': 0.7, 'x2': 0.6, 'x3': 0.5, 'x4': 0.4, 'x5': 0.3, 'x6': 0.2, 'x7': 0.1, 'x8': 0.05, 'x9': 0.0}, {'x0': 0.35, 'x1': 0.4, 'x2': 0.45, 'x3': 0.5, 'x4': 0.55, 'x5': 0.6, 'x6': 0.65, 'x7': 0.7, 'x8': 0.75, 'x9': 0.8}]","{'x0': 0.9, 'x1': 0.8, 'x2': 0.7, 'x3': 0.6, 'x4': 0.5, 'x5': 0.4, 'x6': 0.3, 'x7': 0.2, 'x8': 0.1, 'x9': 0.01}",1
"[{'x0': 0.2, 'x1': 0.3, 'x2': 0.4, 'x3': 0.5, 'x4': 0.6, 'x5': 0.7, 'x6': 0.8, 'x7': 0.9, 'x8': 0.1, 'x9': 0.0}, {'x0': 0.05, 'x1': 0.02, 'x2': 0.01, 'x3': 0.03, 'x4': 0.04, 'x5': 0.05, 'x6': 0.06, 'x7': 0.07, 'x8': 0.08, 'x9': 0.09}, {'x0': 0.12, 'x1': 0.15, 'x2': 0.18, 'x3': 0.21, 'x4': 0.24, 'x5': 0.27, 'x6': 0.3, 'x7': 0.33, 'x8': 0.36, 'x9': 0.39}, {'x0': 0.8, 'x1': 0.7, 'x2': 0.6, 'x3': 0.5, 'x4': 0.4, 'x5': 0.3, 'x6': 0.2, 'x7': 0.1, 'x8': 0.0, 'x9': 0.05}, {'x0': 0.4, 'x1': 0.4, 'x2': 0.3, 'x3': 0.3, 'x4': 0.2, 'x5': 0.2, 'x6': 0.1, 'x7': 0.1, 'x8': 0.0, 'x9': 0.0}]","{'x0': 0.4, 'x1': 0.4, 'x2': 0.3, 'x3': 0.3, 'x4': 0.2, 'x5': 0.2, 'x6': 0.1, 'x7': 0.1, 'x8': 0.0, 'x9': 0.0}",4
"[{'x0': 0.02, 'x1': 0.04, 'x2': 0.06, 'x3': 0.08, 'x4': 0.1, 'x5': 0.12, 'x6': 0.14, 'x7': 0.16, 'x8': 0.18, 'x9': 0.2}, {'x0': 0.12, 'x1': 0.15, 'x2': 0.18, 'x3': 0.22, 'x4': 0.26, 'x5': 0.3, 'x6': 0.32, 'x7': 0.36, 'x8': 0.4, 'x9': 0.42}, {'x0': 0.25, 'x1': 0.35, 'x2': 0.45, 'x3': 0.55, 'x4': 0.65, 'x5': 0.75, 'x6': 0.85, 'x7': 0.95, 'x8': 0.1, 'x9': 0.0}, {'x0': 0.05, 'x1': 0.1, 'x2': 0.15, 'x3': 0.2, 'x4': 0.25, 'x5': 0.3, 'x6': 0.35, 'x7': 0.4, 'x8': 0.45, 'x9': 0.5}, {'x0': 0.15, 'x1': 0.2, 'x2': 0.25, 'x3': 0.3, 'x4': 0.35, 'x5': 0.4, 'x6': 0.45, 'x7': 0.5, 'x8': 0.55, 'x9': 0.6}]","{'x0': 0.02, 'x1': 0.04, 'x2': 0.06, 'x3': 0.08, 'x4': 0.1, 'x5': 0.12, 'x6': 0.14, 'x7': 0.16, 'x8': 0.18, 'x9': 0.2}",0
