F1,F2
0.809,3.125
0.052,5.082
0.356,3.883
0.388,4.11
0.991,3.933
0.7,1.897
0.1,4.44
0.2,4.115
0.2,3.655
0.05,4.704
0.0,4.693
0.03,2.993
0.01,2.281
0.01,0.983
0.1,3.471
0.01,5.111
0.2,4.073
0.0,1.0
0.0,1.0
0.2,1.31
0.3,2.646
0.0,1.09
0.0,3.079
0.03,1.051
0.0,1.326
0.1,0.684
0.4,3.244
0.05,4.763
0.2,2.052
0.0,1.081
0.0,1.196
0.02,1.015
0.0,1.065
0.01,0.897
0.01,0.985
0.0,1.13
0.0,1.18
0.0,1.062
0.0,2.397
0.05,0.726
0.02,0.931
0.0,1.003
0.0,1.031
0.07,3.976
0.06,3.172
0.0,1.006
0.0,1.009
0.2,4.003
0.4,3.749
0.0,1.006
0.0,1.006
0.03,0.885
0.04,0.843
0.0,1.034
0.04,0.768
0.0,1.124
0.0,1.043
0.0,1.05
0.0,1.003
0.0,1.047
0.0,1.068
0.1,0.718
0.0,1.031
0.0,1.056
0.05,0.732
0.0,1.078
0.01,1.042
0.0,1.016
0.0,1.012
0.0,1.059
0.0,1.062
0.01,1.015
0.01,0.98
0.1,0.686
0.0,1.068
0.01,0.903
0.04,0.812
0.1,0.72
0.0,1.016
0.0,1.043
0.0,1.078
0.01,0.912
0.0,1.047
0.0,1.028
0.0,1.065
