F1,F2
0.651,3.098
0.439,3.191
0.415,3.605
0.502,3.585
0.423,3.294
0.25,1.979
0.3,2.328
0.27,2.528
0.35,3.136
0.1,1.464
0.2,2.079
0.2,2.146
0.15,1.92
0.05,1.414
0.1,1.11
0.2,1.362
0.1,1.768
0.05,1.074
0.05,1.131
0.1,1.164
0.1,1.177
0.02,1.02
0.03,0.988
0.04,0.981
0.06,0.951
0.0,1.062
0.0,1.118
0.01,1.03
0.01,0.985
0.01,0.935
0.01,0.974
0.0,1.112
0.0,1.065
0.0,1.003
0.0,1.047
0.0,1.003
0.0,1.0
0.0,1.003
0.0,1.006
0.0,1.012
0.0,1.019
0.0,1.031
0.01,0.903
0.0,1.009
0.0,1.003
0.01,0.9
0.0,1.062
0.01,0.938
0.02,0.913
0.0,1.006
0.0,1.006
0.0,1.012
0.01,0.903
0.0,1.006
0.0,1.003
0.0,1.009
0.0,1.012
0.0,1.006
0.0,1.006
0.0,1.006
0.0,1.006
0.01,0.906
0.0,1.003
0.0,1.016
0.01,0.915
0.1,1.002
0.01,0.903
0.0,1.006
0.0,1.006
0.0,1.009
0.0,1.012
0.0,1.009
0.0,1.006
0.0,1.006
0.01,0.912
0.0,1.012
0.0,1.019
0.0,1.009
0.0,1.009
0.0,1.006
0.0,1.006
0.0,1.016
0.1,1.464
0.2,2.052
0.01,2.281
