candidate_evaluations,hypervolume_contributions
"[{'Latency': 9.195, 'Perplexity': 28.4782}, {'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 10.247062098005559, 'Perplexity': 26.8625545501709}, {'Latency': 9.7709, 'Perplexity': 28.4782}, {'Latency': 15.75, 'Perplexity': 21.5909}]","[3.841974202778431e-06, 0.0, 0.03933542205231033, 0.0, 4.3597295307229444e-07]"
"[{'Latency': 10.08, 'Perplexity': 30.12}, {'Latency': 12.5, 'Perplexity': 22.1}, {'Latency': 7.5, 'Perplexity': 35.2}, {'Latency': 11.0, 'Perplexity': 24.5}, {'Latency': 9.8, 'Perplexity': 27.9}]","[0.0, 0.05456627724089502, 0.04109183923997761, 0.05576834833649991, 0.0]"
"[{'Latency': 10.247062098005559, 'Perplexity': 28.4782}, {'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 6.711088257100824, 'Perplexity': 36.222347259521484}, {'Latency': 6.711088257100824, 'Perplexity': 36.222347259521484}, {'Latency': 9.7709, 'Perplexity': 28.4782}]","[0.0, 0.0, 0.05017169652492226, 0.05017169652492226, 0.0]"
"[{'Latency': 8.3237, 'Perplexity': 34.9455}, {'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 11.0317, 'Perplexity': 26.7699}, {'Latency': 9.195, 'Perplexity': 27.8168}, {'Latency': 15.75, 'Perplexity': 21.5909}]","[1.3307106190296736e-06, 0.0, 1.1434611641991665e-06, 0.0, 4.0716631843906725e-07]"
"[{'Latency': 8.5, 'Perplexity': 33.2}, {'Latency': 15.2, 'Perplexity': 21.0}, {'Latency': 14.9, 'Perplexity': 24.5}, {'Latency': 11.5, 'Perplexity': 27.5}, {'Latency': 18.1, 'Perplexity': 20.8}]","[0.005207607879216036, 0.021063320959872955, 0.0, 0.0, 0.010829851556441339]"
"[{'Latency': 11.0317, 'Perplexity': 26.7699}, {'Latency': 8.9786, 'Perplexity': 27.5883}, {'Latency': 15.75, 'Perplexity': 21.5909}, {'Latency': 9.7709, 'Perplexity': 28.4782}, {'Latency': 6.711088257100824, 'Perplexity': 36.222347259521484}]","[8.574770825608979e-07, 0.0, 3.5287359745339586e-07, 0.0, 0.00899544875024505]"
"[{'Latency': 10.247062098005559, 'Perplexity': 34.5322}, {'Latency': 11.0317, 'Perplexity': 26.7699}, {'Latency': 10.08, 'Perplexity': 34.9455}, {'Latency': 15.75, 'Perplexity': 21.5909}, {'Latency': 9.7709, 'Perplexity': 28.4782}]","[0.0, 9.508920806311494e-07, 0.0, 3.7802524799346315e-07, 0.0]"
"[{'Latency': 7.1176, 'Perplexity': 35.4063}, {'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 11.0317, 'Perplexity': 26.7699}, {'Latency': 10.5994, 'Perplexity': 26.807}, {'Latency': 8.9786, 'Perplexity': 27.5883}]","[1.1869649541029759e-06, 0.0, 7.747290087234404e-07, 0.0, 0.0]"
"[{'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 8.9786, 'Perplexity': 27.5883}, {'Latency': 14.1968, 'Perplexity': 22.8131}, {'Latency': 10.08, 'Perplexity': 34.5322}, {'Latency': 15.75, 'Perplexity': 21.5909}]","[0.0, 0.0, 0.0, 0.0, 3.733748130674286e-07]"
"[{'Latency': 13.7438, 'Perplexity': 22.2585}, {'Latency': 8.3017, 'Perplexity': 29.26}, {'Latency': 10.5994, 'Perplexity': 26.807}, {'Latency': 8.9786, 'Perplexity': 27.5883}, {'Latency': 9.195, 'Perplexity': 27.8168}]","[5.573509695988577e-07, 2.243184774153306e-06, 0.0, 0.0, 0.0]"
