F1,F2
0.011,99.265
0.628,57.971
0.7,59.841
0.413,100.116
0.999,59.062
0.1,47.851
0.3,9.183
0.4,89.929
0.3,127.252
0.0,93.67
0.0,192.0
0.05,107.091
0.05,100.681
0.1,569.186
0.0,874.634
0.2,7.816
0.05,288.259
0.15,223.06
0.2,720.03
0.25,47.979
0.2,177.373
0.1,32.0
0.3,208.441
0.1,198.583
0.2,185.489
0.35,32.023
0.05,756.076
0.0,882.0
0.0,799.0
0.02,27.35
0.1,56.914
0.0,774.0
0.0,863.0
0.1,167.853
0.15,57.917
0.1,70.328
0.3,63.135
0.25,55.933
0.25,190.356
0.3,42.957
0.15,47.027
0.05,50.191
0.1,22.46
0.15,630.45
0.0,442.0
0.1,40.995
0.4,8.676
0.15,45.725
0.1,50.942
