configs,runtime_traj,F1,F2
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'x4': 0.5, 'x5': 0.5, 'x6': 0.5, 'x7': 0.5, 'x8': 0.5, 'x9': 0.5, 'problem': 'zdt6'}",5.116077229999064,1.0,8.451
"{'x0': 0.7340429696347311, 'x1': 0.5043868931613189, 'x2': 0.640364332564056, 'x3': 0.3997920777187144, 'x4': 0.971397651214524, 'x5': 0.3992014618504318, 'x6': 0.19401821305908, 'x7': 0.6812535355671672, 'x8': 0.4531698258951118, 'x9': 0.7038818157656254, 'problem': 'zdt6'}",5.116102509999109,0.96,8.644
"{'x0': 0.6778443501212649, 'x1': 0.5711862915010029, 'x2': 0.4333667528204988, 'x3': 0.7180421762649241, 'x4': 0.9070783962814556, 'x5': 0.5148575064802305, 'x6': 0.4692010930848463, 'x7': 0.6796321284103066, 'x8': 0.0032636883353964, 'x9': 0.3965148684141295, 'problem': 'zdt6'}",5.116120700000465,1.0,8.532
"{'x0': 0.7318931376466036, 'x1': 0.8638796017487235, 'x2': 0.0382016593167963, 'x3': 0.5877027950265935, 'x4': 0.4265565864231826, 'x5': 0.1720903268117185, 'x6': 0.0284795165563022, 'x7': 0.2866160192754476, 'x8': 0.608754102832726, 'x9': 0.6855344528676377, 'problem': 'zdt6'}",5.116139859999748,0.963,8.093
"{'x0': 0.040359629979555, 'x1': 0.6465394960178321, 'x2': 0.5981574221816082, 'x3': 0.8341555634765404, 'x4': 0.5863880505057937, 'x5': 0.3204258787213321, 'x6': 0.0811467023759087, 'x7': 0.4282276329904267, 'x8': 0.0562288781214489, 'x9': 0.0232782032369937, 'problem': 'zdt6'}",5.116045601000224,0.909,8.043
"{'x0': 0.7355883628074417, 'x1': 0.8678331744756569, 'x2': 0.3534827890132617, 'x3': 0.2392958377386221, 'x4': 0.9334035671807428, 'x5': 0.9304550535324608, 'x6': 0.1463008723097185, 'x7': 0.7028375086463912, 'x8': 0.9091007390046756, 'x9': 0.839636107676414, 'problem': 'zdt6'}",5.116063720999591,0.958,9.005
"{'x0': 0.2518139081994501, 'x1': 0.2361720675635813, 'x2': 0.6597377501112043, 'x3': 0.2492071264595919, 'x4': 0.9492917877870732, 'x5': 0.2009813360824245, 'x6': 0.9040597380329524, 'x7': 0.7319530922222683, 'x8': 0.481166503007624, 'x9': 0.1028821675819938, 'problem': 'zdt6'}",5.116111870000168,0.636,8.527
"{'x0': 0.1580997917581154, 'x1': 0.0390674602041951, 'x2': 0.8283655416090964, 'x3': 0.3611241318992939, 'x4': 0.0012385814181785, 'x5': 0.4161031699003555, 'x6': 0.483265677588464, 'x7': 0.3443097317133045, 'x8': 0.1742167552858812, 'x9': 0.2451505118601846, 'problem': 'zdt6'}",5.11614709999958,1.0,7.648
"{'x0': 0.6578266915877256, 'x1': 0.3102979735377194, 'x2': 0.304868672895063, 'x3': 0.9936151276183488, 'x4': 0.0794678532411052, 'x5': 0.8375520343273689, 'x6': 0.9923442924070656, 'x7': 0.2583625915237029, 'x8': 0.8175615530160192, 'x9': 0.2101872139918207, 'problem': 'zdt6'}",5.116092930000377,1.0,8.578
"{'x0': 0.4321175770865605, 'x1': 0.9101584746277772, 'x2': 0.3141464524534073, 'x3': 0.3101254382090114, 'x4': 0.4547334926207584, 'x5': 0.1126334804490412, 'x6': 0.8189502049172696, 'x7': 0.7649880474439681, 'x8': 0.8029123535402766, 'x9': 0.2664740109262207, 'problem': 'zdt6'}",5.116131060000043,0.863,8.587
"{'x0': 0.450385676255526, 'x1': 0.5820221758529659, 'x2': 0.8610743821159893, 'x3': 0.2451194913594276, 'x4': 0.4349866402912106, 'x5': 0.5218141285088189, 'x6': 0.7952620339123933, 'x7': 0.8037200541694782, 'x8': 0.1832255555757312, 'x9': 0.510751268552243, 'problem': 'zdt6'}",10.627962331000164,0.955,8.642
"{'x0': 0.3980268664624597, 'x1': 0.0967013869100382, 'x2': 0.7582268350576838, 'x3': 0.7017894394393409, 'x4': 0.0754899757709339, 'x5': 0.1907258403265775, 'x6': 0.6386509224138981, 'x7': 0.0197584354034645, 'x8': 0.1473778165626742, 'x9': 0.3768934319030976, 'problem': 'zdt6'}",10.627972340998896,0.861,7.747
"{'x0': 0.518655788989358, 'x1': 0.4759787318134089, 'x2': 0.2284104210377932, 'x3': 0.1678782996719735, 'x4': 0.0576399028168979, 'x5': 0.0441073020182237, 'x6': 0.7217030887387436, 'x7': 0.143359098740086, 'x8': 0.1086369738695546, 'x9': 0.2001814359547965, 'problem': 'zdt6'}",10.627945480999188,1.0,7.153
